panel_id,panel_type,sector,intent,brand,query,volume,keyword_id
NB001,nonbranded,software_crm,discovery,,"customer relationship management significato",5400,1436299
NB002,nonbranded,software_crm,discovery,,"come funziona l intelligenza artificiale",1600,1334149
NB003,nonbranded,software_crm,discovery,,"intelligenza artificiale come funziona",880,450791
NB004,nonbranded,software_crm,discovery,,"machine learning significato",880,626910
NB005,nonbranded,software_crm,discovery,,"definizione intelligenza artificiale",590,270978
NB006,nonbranded,software_crm,discovery,,"lead generation significato",480,519681
NB007,nonbranded,software_crm,discovery,,"cosa è intelligenza artificiale",480,3046449
NB008,nonbranded,software_crm,discovery,,"intelligenza artificiale esempi",390,450553
NB009,nonbranded,software_crm,discovery,,"intelligenza artificiale significato",390,450568
NB010,nonbranded,software_crm,discovery,,"erp esempi",110,311599
NB011,nonbranded,software_crm,discovery,,"sistemi erp esempi",110,2100739
NB012,nonbranded,software_crm,discovery,,"machine learning esempi",110,626902
NB013,nonbranded,software_crm,discovery,,"cloud computing esempi",90,1191091
NB014,nonbranded,software_crm,discovery,,"marketing automation esempi",70,1299294
NB015,nonbranded,software_crm,discovery,,"saas esempi",70,905497
NB016,nonbranded,software_crm,discovery,,"esempi di intelligenza artificiale nella vita quotidiana",70,309667
NB017,nonbranded,software_crm,discovery,,"intelligenza artificiale esempi pratici",70,1334055
NB018,nonbranded,software_crm,discovery,,"lead generation strategie",50,541143
NB019,nonbranded,software_crm,discovery,,"lead generation esempi",50,541196
NB020,nonbranded,software_crm,discovery,,"lead generation definizione",50,541207
NB021,nonbranded,software_crm,discovery,,"come fare lead generation",50,1629315
NB022,nonbranded,software_crm,discovery,,"crm software significato",50,3372708
NB023,nonbranded,software_crm,discovery,,"antivirus significato",40,33150
NB024,nonbranded,software_crm,discovery,,"iaas paas saas esempi",40,486119
NB025,nonbranded,software_crm,discovery,,"software erp esempi",40,2100823
NB026,nonbranded,software_crm,discovery,,"crm marketing significato",40,2102140
NB027,nonbranded,software_crm,discovery,,"tipi di machine learning",40,958255
NB028,nonbranded,software_crm,discovery,,"significato hosting",30,2136073
NB029,nonbranded,software_crm,discovery,,"tipi di cloud computing",30,1191194
NB030,nonbranded,software_crm,discovery,,"cosa significa lead generation",30,1629363
NB031,nonbranded,software_crm,discovery,,"tipi di sicurezza informatica",20,1254587
NB032,nonbranded,software_crm,discovery,,"erp vantaggi",10,311869
NB033,nonbranded,software_crm,discovery,,"sistema erp come funziona",10,2101261
NB034,nonbranded,software_crm,discovery,,"lead generation come funziona",10,535037
NB035,nonbranded,software_crm,discovery,,"marketing automation strategie",10,608233
NB036,nonbranded,software_crm,problem,,"soluzioni di sicurezza informatica",30,1254575
NB037,nonbranded,software_crm,problem,,"soluzioni sicurezza informatica",20,1254578
NB038,nonbranded,software_crm,problem,,"soluzioni cloud computing",10,1192080
NB039,nonbranded,software_crm,problem,,"soluzione erp gestionale",10,1437324
NB040,nonbranded,software_crm,problem,,"soluzioni di sicurezza informatica cisco meraki",10,1254576
NB041,nonbranded,software_crm,problem,,"soluzioni di cloud computing",10,1192081
NB042,nonbranded,software_crm,comparison,,"l intelligenza artificiale pro e contro",90,1191878
NB043,nonbranded,software_crm,comparison,,"confronto antivirus",50,189746
NB044,nonbranded,software_crm,comparison,,"confronto hosting",20,229606
NB045,nonbranded,software_crm,comparison,,"hosting a confronto",20,442801
NB046,nonbranded,software_crm,comparison,,"confronto software gestionali",10,168418
NB047,nonbranded,software_crm,comparison,,"differenza tra machine learning e artificial intelligence",10,1665458
NB048,nonbranded,software_crm,alternatives,,"software simili a photoshop",10,1472718
NB049,nonbranded,marketing,discovery,,"seo significato",2900,1629037
NB050,nonbranded,marketing,discovery,,"branding significato",1000,105187
NB051,nonbranded,marketing,discovery,,"brand awareness significato",590,155553
NB052,nonbranded,marketing,discovery,,"come diventare social media manager",480,1629024
NB053,nonbranded,marketing,discovery,,"employer branding significato",320,332704
NB054,nonbranded,marketing,discovery,,"cosa significa seo",210,168004
NB055,nonbranded,marketing,discovery,,"definizione seo",210,1629227
NB056,nonbranded,marketing,discovery,,"personal branding significato",210,818097
NB057,nonbranded,marketing,discovery,,"guida seo",110,1290721
NB058,nonbranded,marketing,discovery,,"web marketing significato",110,1022694
NB059,nonbranded,marketing,discovery,,"come si diventa social media manager",90,1629058
NB060,nonbranded,marketing,discovery,,"strategie seo",90,915365
NB061,nonbranded,marketing,discovery,,"strategie di web marketing",90,906546
NB062,nonbranded,marketing,discovery,,"strategie social media marketing",70,866747
NB063,nonbranded,marketing,discovery,,"seo come funziona",70,1629098
NB064,nonbranded,marketing,discovery,,"strategie di branding",70,866786
NB065,nonbranded,marketing,discovery,,"seo significato marketing",70,1629112
NB066,nonbranded,marketing,discovery,,"web marketing definizione",70,1022693
NB067,nonbranded,marketing,discovery,,"come fare seo",50,1629016
NB068,nonbranded,marketing,discovery,,"employer branding esempi",50,3163021
NB069,nonbranded,marketing,discovery,,"come diventare seo specialist",50,1629082
NB070,nonbranded,marketing,discovery,,"seo e sem significato",50,1629281
NB071,nonbranded,marketing,discovery,,"social media manager significato",40,1629303
NB072,nonbranded,marketing,discovery,,"brand awareness esempi",40,155562
NB073,nonbranded,marketing,discovery,,"strategie di web marketing b2b",40,892506
NB074,nonbranded,marketing,discovery,,"yoast seo guida",40,1291673
NB075,nonbranded,marketing,discovery,,"strategie di content marketing",40,915253
NB076,nonbranded,marketing,discovery,,"come diventare seo",40,1629017
NB077,nonbranded,marketing,discovery,,"come fare pubblicità online",30,1629042
NB078,nonbranded,marketing,discovery,,"social media marketing esempi",30,915377
NB079,nonbranded,marketing,discovery,,"social media marketing definizione",30,915392
NB080,nonbranded,marketing,discovery,,"branding esempi",30,121199
NB081,nonbranded,marketing,discovery,,"come fare il social media manager",20,1629091
NB082,nonbranded,marketing,discovery,,"come farsi pubblicità online",10,1629151
NB083,nonbranded,marketing,discovery,,"pubblicità online come funziona",10,3542993
NB084,nonbranded,marketing,discovery,,"tipi di pubblicità online",10,3546218
NB085,nonbranded,marketing,discovery,,"guida social media manager",10,407004
NB086,nonbranded,marketing,discovery,,"strategie social media manager",10,866784
NB087,nonbranded,marketing,discovery,,"come fare social media marketing",10,1629019
NB088,nonbranded,marketing,discovery,,"social media marketing significato",10,1629021
NB089,nonbranded,marketing,problem,,"soluzioni web marketing",50,1205726
NB090,nonbranded,marketing,problem,,"seo come migliorare",50,1613037
